fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2020-11-24,10244,3127,8865,2759,0.30525185474424055,0.31122391426959956
2020-11-25,10377,2593,8966,2260,0.2498795412932447,0.2520633504349766
2020-11-26,10570,2774,9112,2413,0.26244087038789027,0.26481562774363476
2020-11-27,10317,2757,8969,2399,0.2672288455946496,0.2674768647563831
2020-11-28,4214,1048,3693,885,0.24869482676791646,0.239642567018684
2020-11-29,2419,735,2064,631,0.30384456386936753,0.3057170542635659
2020-11-30,11575,3219,10009,2745,0.27809935205183584,0.27425317214506945
2020-12-01,12977,3424,11221,2973,0.2638514294521076,0.2649496479814633
2020-12-02,14519,3638,12487,3123,0.2505682209518562,0.2501001041082726
2020-12-03,14891,3747,12930,3254,0.25162850043650525,0.2516627996906419
2020-12-04,15624,3890,13372,3308,0.24897593445980543,0.247382590487586
2020-12-05,5455,1472,4825,1289,0.2698441796516957,0.2671502590673575
2020-12-06,3404,939,2879,775,0.27585193889541715,0.26919069121222644
2020-12-07,16411,4710,14052,4012,0.2870026201937725,0.2855109592940507
2020-12-08,18029,4857,15411,4091,0.2693993011259637,0.26545973655181365
2020-12-09,17079,4596,14614,3873,0.2691024064640787,0.26501984398521966
2020-12-10,17743,4545,15314,3893,0.25615735783125737,0.2542118323103043
2020-12-11,17026,4373,14616,3752,0.25684247621285095,0.2567049808429119
2020-12-12,5711,1736,4989,1511,0.30397478550166346,0.3028663058729204
2020-12-13,3336,1040,2740,854,0.3117505995203837,0.3116788321167883
2020-12-14,17389,5104,14539,4274,0.29351889125309105,0.2939679482770479
2020-12-15,17151,5027,14584,4256,0.2931024430062387,0.2918266593527153
2020-12-16,16642,4929,13921,4127,0.2961783439490446,0.29645858774513323
2020-12-17,16883,4655,14184,3886,0.2757211396078896,0.273970671178793
2020-12-18,17509,4937,15002,4111,0.2819692729453424,0.27403012931609116
2020-12-19,6760,1761,5949,1516,0.26050295857988165,0.25483274499915953
2020-12-20,3948,1051,3228,859,0.2662107396149949,0.2661090458488228
2020-12-21,18341,5664,15722,4825,0.3088163131781255,0.30689479709960565
2020-12-22,17415,4911,15016,4165,0.2819982773471146,0.27737080447522644
2020-12-23,16730,4669,14528,3993,0.2790794979079498,0.2748485682819383
2020-12-24,12972,3454,11413,2988,0.26626580326857846,0.2618067116446158
2020-12-25,2562,840,2083,661,0.32786885245901637,0.3173307729236678
2020-12-26,5454,1594,4660,1377,0.29226255958929226,0.29549356223175965
2020-12-27,3734,1064,3173,894,0.2849491162292448,0.28175228490387644
2020-12-28,16168,4450,14057,3912,0.2752350321622959,0.27829551113324325
2020-12-29,17443,4696,15222,4057,0.2692197443100384,0.2665221390093286
2020-12-30,16469,4205,14451,3637,0.2553281923614063,0.25167808456162205
2020-12-31,12833,3435,11432,2984,0.2676692901114315,0.2610216934919524
2021-01-01,2828,812,2474,704,0.2871287128712871,0.28455941794664513
2021-01-02,4697,1566,3987,1331,0.3334043006174154,0.33383496363180337
2021-01-03,4290,1328,3507,1091,0.3095571095571096,0.3110921015112632
2021-01-04,15807,4545,13774,3929,0.2875308407667489,0.2852475678815159
2021-01-05,18080,5129,15610,4489,0.28368362831858407,0.287572069186419
2021-01-06,17740,4961,15457,4281,0.2796505073280722,0.2769618942873779
2021-01-07,20145,5328,17166,4611,0.26448250186150407,0.2686123732960503
2021-01-08,18517,4876,15652,4147,0.2633255926986013,0.2649501661129568
2021-01-09,7305,2215,6360,1930,0.30321697467488024,0.30345911949685533
